OBJECTID,SRA,HAZ_CODE,HAZ_CLASS,INCORP,VH_REC,ShapeSTAre,ShapeSTLen
"941",SRA,"2",High,,,"282461.334117522928864","2884.405645563456801"
"942",SRA,"2",High,,,"2121574.388897805940360","16487.453568793072918"
"943",SRA,"2",High,,,"269050.190762029960752","2593.923389090900400"
"944",SRA,"2",High,,,"1637027.940761689329520","6927.707398736378309"
"945",SRA,"2",High,,,"6700131.421757567673922","32976.918691235063307"
"946",SRA,"2",High,,,"10395.282218968628513","617.076676392027821"
"947",SRA,"2",High,,,"12935760.206093057990074","18287.075765029178001"
"948",SRA,"2",High,,,"311600.292002877744380","4179.274864578760571"
"949",SRA,"2",High,,,"2899634.793150832876563","18617.609001543176419"
"950",SRA,"2",High,,,"211088.070374993956648","2382.294784186530705"
"951",SRA,"2",High,,,"515.343951407257805","110.393222427685075"
"952",SRA,"2",High,,,"3842620.564716211520135","17422.118617333737348"
"953",SRA,"2",High,,,"1483489.481265043839812","9560.925505834728028"
"954",SRA,"2",High,,,"917263.667370407143608","6245.557454460841655"
"955",SRA,"2",High,,,"10014.159426219210218","495.543813536253822"
"956",SRA,"2",High,,,"156313.722896210121689","2329.734300240820176"
"957",SRA,"2",High,,,"766.801308239801983","190.363065776362106"
"958",SRA,"2",High,,,"251978.616498406569008","3397.026168802463417"
"959",SRA,"2",High,,,"22369.745751113452570","1020.552090120938828"
"960",SRA,"2",High,,,"18793.003149526160996","874.038865506249294"
"961",SRA,"2",High,,,"12752.793868720622413","644.962599651115852"
"962",SRA,"2",High,,,"4431.146879068723138","272.312354221946805"
"963",SRA,"2",High,,,"2421572.883045975118876","15552.482852060722507"
"964",SRA,"2",High,,,"8155854.394590305164456","55115.357070222882612"
"965",SRA,"2",High,,,"8433.740261407612707","672.895028696813483"
"966",SRA,"2",High,,,"1140139.119339076802135","8989.292934675024298"
"967",SRA,"2",High,,,"2402182.219800378661603","9054.835529845518977"
"968",SRA,"2",High,,,"6876.946466449348009","503.345884659157207"
"969",SRA,"2",High,,,"10664.526741916004539","662.961721344326747"
