OBJECTID,Water System ID,sabl_pwsid,Boundary Type,System Name,SAFER Status,CVA Drought Risk,Funding Since 2017,County,Regulating Agency,Water Quality Risk Level,Accessibility Risk Level,Affordability Risk Level,TMF Capacity Risk Level,latitude,longitude,Service Connections,Population,Shape__Area,Shape__Length,Last Updated
1,CA1900007,CA1900007,Water Service Area,CALIFORNIA CONSERVATION CAMP #14,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 16 - CENTRAL,None,0.2,Low,Medium,34.566609,-118.475671,1,107,263897.8398,2363.190486,11/14/2025
2,CA1900038,CA1900038,Water Service Area,LANCASTER PARK MOBILE HOME PARK,Failing,High,0,LOS ANGELES,DISTRICT 22 - ANGELES,High,0.46,Low,Low,34.746266,-118.131822,21,60,16068.3125,528.4951502,11/14/2025
3,CA1900046,CA1900046,Water Service Area,PETER PITCHESS HONOR RANCHO DETN. CTR,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 22 - ANGELES,Low,0,None,Low,34.466064,-118.599968,1952,7000,531647.6172,6982.553786,11/14/2025
4,CA1900055,CA1900055,Water Service Area,BLUE SKIES TRAILOR PARK,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,None,0.67,Medium,None,34.504058,-118.030553,20,56,11743.08203,454.9815535,11/14/2025
5,CA1900062,CA1900062,Water Service Area,LOS ANGELES RESIDENTIAL COMMUNITY FOUNDA,At-Risk,High,2742601,LOS ANGELES,DISTRICT 22 - ANGELES,None,0.8,None,Medium,34.484901,-118.466621,22,184,56540.79688,1135.620435,11/14/2025
6,CA1900074,CA1900074,Water Service Area,THE PAINTED TURTLE CAMP,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,None,0.57,None,Medium,34.670698,-118.432792,5,57,1055562.84,4313.267312,11/14/2025
7,CA1900075,CA1900075,Water Service Area,BLEICH FLATS MUTUAL,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,None,0.5,Low,None,34.72541,-118.509736,34,42,4476482.863,9824.345374,11/14/2025
8,CA1900100,CA1900100,Water Service Area,METTLER VALLEY MUTUAL,Failing,High,495000,LOS ANGELES,DISTRICT 15 - METROPOLITAN,High,0.32,High,Low,34.786215,-118.63434,98,160,1525615.621,5497.914782,11/14/2025
9,CA1900102,CA1900102,Water Service Area,WESTSIDE PARK MUTUAL WATER,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,None,0,Low,Low,34.611659,-118.157559,171,495,2427664.719,6892.920028,11/14/2025
10,CA1900130,CA1900130,Water Service Area,DEL RIO MUTUAL,At-Risk,High,0,LOS ANGELES,DISTRICT 22 - ANGELES,Medium,0.32,High,Low,34.048,-118.02338,133,700,301822.5938,3416.668291,11/14/2025
11,CA1900145,CA1900145,Water Service Area,REESEDALE MUTUAL,Potentially At-Risk,Medium,0,LOS ANGELES,DISTRICT 15 - METROPOLITAN,None,0.14,High,Medium,34.692007,-117.976367,23,76,1021637.824,5467.663825,11/14/2025
12,CA1900146,CA1900146,Water Service Area,SUNNYSIDE FARMS MUTUAL WATER COMPANY,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,Low,0,None,None,34.627316,-118.196434,160,436,2848121.758,7887.276913,11/14/2025
13,CA1900154,CA1900154,Water Service Area,TIERRA BONITA MUTUAL WATER,At-Risk,High,0,LOS ANGELES,DISTRICT 16 - CENTRAL,High,0.23,High,Low,34.669752,-118.03658,32,75,478586.9141,2953.960984,11/14/2025
14,CA1900155,CA1900155,Water Service Area,WILSONA GARDENS MUTUAL,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 22 - ANGELES,None,0,High,Low,34.667797,-117.825241,44,129,990014.9648,4974.496388,11/14/2025
15,CA1900158,CA1900158,Water Service Area,LITTLE BALDY WATER,At-Risk,High,1999999,LOS ANGELES,DISTRICT 15 - METROPOLITAN,None,0.09,High,High,34.471774,-117.757675,36,55,7990477.742,23425.94234,11/14/2025
16,CA1900301,CA1900301,Water Service Area,SHADOW ACRES MUTUAL WATER COMPANY,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,None,0,None,Low,34.610929,-118.174467,165,450,2966468.023,6970.978613,11/14/2025
17,CA1900303,CA1900303,Water Service Area,LLANO MUTUAL WATER COMPANY,Potentially At-Risk,Medium,0,LOS ANGELES,DISTRICT 15 - METROPOLITAN,None,0.32,High,Low,34.499536,-117.818238,83,245,21826340.29,19257.81662,11/14/2025
18,CA1900520,CA1900520,Water Service Area,THE VILLAGE MOBILE HOME PARK,Failing,High,1215700,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,High,0.51,Low,Medium,34.734002,-118.134937,34,71,25197.83594,641.5375283,11/14/2025
19,CA1900523,CA1900523,Water Service Area,WHITE FENCE FARMS MWC NO.3,At-Risk,High,0,LOS ANGELES,DISTRICT 22 - ANGELES,High,0,None,High,34.631063,-118.17467,249,749,11862953.3,19815.1803,11/14/2025
20,CA1900529,CA1900529,Water Service Area,CAMP WILLIAMS-RESORT WATER,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 16 - CENTRAL,None,0.25,Low,Low,34.232256,-117.791229,69,80,117453.6406,1470.550305,11/14/2025
21,CA1900537,CA1900537,Water Service Area,OAK GROVE MOBILE HOME PARK,At-Risk,High,0,LOS ANGELES,DISTRICT 15 - METROPOLITAN,High,0.34,None,Low,34.511219,-118.358617,31,109,26072.43359,639.9239529,11/14/2025
22,CA1900541,CA1900541,Water Service Area,WESTERN SKIES MOBILE HOME PARK,At-Risk,High,0,LOS ANGELES,DISTRICT 16 - CENTRAL,Medium,0.28,High,None,34.705345,-118.073303,61,198,44473.94141,845.7672873,11/14/2025
23,CA1900542,CA1900542,Water Service Area,"LOS ANGELES, CITY OF - POWER PLANT #2",At-Risk,High,0,LOS ANGELES,DISTRICT 15 - METROPOLITAN,Medium,0.44,Low,Low,34.592318,-118.449098,17,44,560384.0313,3204.752776,11/14/2025
24,CA1900555,CA1900555,Water Service Area,"LOS ANGELES, CITY OF - POWER PLANT #1",At-Risk,High,0,LOS ANGELES,DISTRICT 15 - METROPOLITAN,Medium,0.44,Low,Low,34.587245,-118.45232,19,29,598642.6055,4536.049129,11/14/2025
25,CA1900563,CA1900563,Water Service Area,"SUNDALE MUTUAL WATER COMPANY A, B",Not At-Risk,Low,0,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,None,0.5,Low,None,34.812808,-118.259675,322,1050,12504243.3,19605.30528,11/14/2025
26,CA1900599,CA1900599,Water Service Area,VALHALLA WATER ASSOCIATION,Potentially At-Risk,Medium,0,LOS ANGELES,DISTRICT 22 - ANGELES,None,0.75,None,Low,34.288679,-118.230659,9,25,159175.7227,5307.640677,11/14/2025
27,CA1900616,CA1900616,Water Service Area,THE RIVER COMMUNITY,Potentially At-Risk,Medium,0,LOS ANGELES,DISTRICT 16 - CENTRAL,None,0.6,Low,Low,34.23296,-117.798045,1,35,50490.34375,1191.503707,11/14/2025
28,CA1900636,CA1900636,Water Service Area,EL RANCHO MOBILE HOME PARK,At-Risk,High,0,LOS ANGELES,DISTRICT 16 - CENTRAL,Low,0.38,High,Low,34.685096,-118.093172,76,215,74098.96875,1093.928473,11/14/2025
29,CA1900649,CA1900649,Water Service Area,GOLDEN SANDS MOBILE HOME PARK,At-Risk,High,0,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,Low,0.37,Medium,Low,34.706116,-118.093173,152,450,59393.64063,1191.106887,11/14/2025
30,CA1900693,CA1900693,Water Service Area,DESERT PALMS MOBILE HOME PARK,At-Risk,High,328726,LOS ANGELES,DISTRICT 16 - CENTRAL,None,0.33,High,Low,33.766724,-116.975656,56,140,44214.65234,966.5753468,11/14/2025
31,CA1900707,CA1900556,,ILEAD AGUA DULCE CHARTER SCHOOL,Potentially At-Risk,Medium,0,LOS ANGELES,DISTRICT 15 - METROPOLITAN,Medium,0.47,None,None,34.487706,-118.332528,1,450,66579.35156,1060.255924,11/14/2025
32,CA1900717,CA1900717,Water Service Area,CASA DULCE ESTATES,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 15 - METROPOLITAN,Low,0.84,None,None,34.493407,-118.311381,17,24,28377.83594,724.4655609,11/14/2025
33,CA1900721,CA1900721,Water Service Area,TERRA NOVA MOBILE HOME PARK,At-Risk,High,0,LOS ANGELES,DISTRICT 16 - CENTRAL,Medium,0.32,Medium,Low,34.70605,-118.101028,75,140,56368.97656,1168.663742,11/14/2025
34,CA1900750,CA1910070,,DEL SUR SCHOOL/WESTSIDE UNION DISTRICT,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 22 - ANGELES,Low,0.7,Low,None,34.71941,-118.292499,2,825,374051504.2,522107.4433,11/14/2025
