x,y,value
-13168449.526061282,4057942.968228355,-9999.0
-13168084.351011932,4049592.817103512,-9999.0
-13162812.136236932,4048851.3419353226,258.42017
-13168871.759712094,4055593.062310708,-9999.0
-13161807.904851219,4049786.7413782696,233.18083
-13162150.256459985,4054874.4017630783,203.66292
-13169933.04969927,4061194.0516581093,-9999.0
-13163222.958167452,4057144.4565087664,98.623566
-13165026.009973621,4054680.477488321,122.74612
-13156992.158887906,4045714.3316083667,-9999.0
-13159845.088960959,4060817.610418875,-9999.0
-13161853.551732387,4046889.2845671903,23.808012
-13162435.54946729,4048782.898073644,47.8417
-13158384.388763556,4052227.905778155,213.38559
-13169134.229278814,4058501.926432067,-9999.0
-13161203.083675731,4056049.354721902,191.31682
-13169898.814538393,4048303.7910418906,-9999.0
-13164957.539651867,4045520.4073336096,-9999.0
-13166452.475010145,4059391.696633895,-9999.0
-13165733.536631737,4050813.3993034554,197.45947
-13168266.938536607,4064730.31784486,-9999.0
-13164854.834169237,4051840.0572286407,165.83328
-13169944.461419562,4064159.9523308678,-9999.0
-13158133.330917127,4048714.4542119647,-9999.0
-13166167.18200284,4045931.0705036838,-9999.0
-13159913.55928271,4052011.1668828386,171.31467
-13157220.39329375,4058022.8194003142,-9999.0
-13164455.42395901,4053129.0832902626,243.83005
-13169556.462929627,4048543.3445577673,-9999.0
-13163234.369887743,4046649.7310513137,259.7291
-13157414.392538719,4064194.1742617073,-9999.0
-13163496.839454465,4062095.2291702167,158.00665
-13167684.940801704,4058752.8872582237,-9999.0
-13158053.44887508,4056802.237200371,-9999.0
-13158532.741127355,4052912.3443949455,135.57956
-13162435.54946729,4056973.346854569,187.95358
-13163508.251174757,4046227.6605709596,335.33627
-13157277.45189521,4050950.2870268133,12.616242
-13162230.13850203,4060349.9106974015,-9999.0
-13164900.481050406,4051406.579438007,207.21083
-13163919.073105276,4055536.025759309,310.5726
-13166737.768017452,4048007.2009746144,-9999.0
-13158121.919196835,4047368.3915989436,-9999.0
-13156604.160397971,4060521.020351599,-9999.0
-13163565.309776219,4059939.247527327,177.53052
-13161853.551732387,4056939.1249237293,-9999.0
-13166452.475010145,4062277.746134694,-9999.0
-13166087.299960796,4048235.3471802115,-9999.0
-13166806.238339204,4049592.817103512,-9999.0
-13159445.678750731,4056665.349477013,-9999.0
-13159867.912401542,4049672.6682754713,112.47721
-13167627.882200243,4044927.2271990576,-9999.0
-13158441.447365016,4046455.806776556,-9999.0
-13166395.416408686,4057977.1901591946,311.02512
-13169077.170677355,4056288.9082377786,-9999.0
-13167422.471234985,4054144.3339051683,-9999.0
-13161168.848514855,4061627.5294487434,-9999.0
-13165722.124911444,4054726.1067294404,247.38094
-13163610.956657387,4049227.7831745576,252.47354
-13169339.640244074,4049296.2270362363,-9999.0
-13159422.855310146,4049558.595172673,115.084564
-13163120.252684822,4061330.9393814676,-9999.0
-13163953.308266154,4048588.9737988864,234.89519
-13156193.338467453,4045953.8851242433,-9999.0
-13158681.093491154,4060578.056902998,-9999.0
-13156261.808789205,4049820.963309109,62.501675
-13167354.00091323,4045839.812021445,-9999.0
-13163222.958167452,4057623.5635405197,183.89375
-13162275.785383198,4051189.84054269,237.68204
-13164683.658364855,4051269.6917146486,215.36758
-13166053.06479992,4057121.641888207,111.89246
-13161648.140767127,4063783.5110916332,-9999.0
-13165185.77405771,4055855.4304471444,270.0
-13161191.671955438,4057338.3807835234,-9999.0
-13163120.252684822,4048691.639591405,207.49107
-13166041.653079627,4062163.673031896,-9999.0
-13158772.387253491,4057121.641888207,-9999.0
-13160027.676485633,4060361.318007681,-9999.0
-13160130.381968264,4062631.372753369,-9999.0
-13169556.462929627,4061262.4955197885,-9999.0
-13156455.808034172,4063281.5894393204,-9999.0
-13168187.056494562,4045782.775470046,-9999.0
-13160815.085185796,4055969.5035499427,262.69366
-13169716.227013718,4054372.4801107654,-9999.0
-13160917.790668426,4062072.414549657,-9999.0
-13159091.915421672,4046490.028707396,-9999.0
-13157984.978553329,4051851.4645389207,278.45096
-13157654.038664855,4046204.8459504,-9999.0
-13158350.153602678,4062186.4876524555,-9999.0
-13167605.05875966,4051178.43323241,202.73318
-13160210.264010308,4058330.8167778696,-9999.0
-13157619.803503977,4061935.5268262993,-9999.0
-13162218.726781737,4056049.354721902,67.21816
-13156193.338467453,4049147.9320025984,92.206055
-13162230.13850203,4061296.717450628,-9999.0
-13157334.510496672,4046467.214086836,-9999.0
-13160963.437549595,4051577.6890922044,268.2061
-13169088.582397645,4057418.2319554826,-9999.0
-13160130.381968264,4046809.4333952316,-9999.0
-13160267.32261177,4048965.415038121,322.57654
-13160860.732066965,4056140.61320414,247.4657
-13168027.29241047,4060897.4615908335,-9999.0
-13165596.59598823,4059654.064770331,-9999.0
