x,y,value
-13163134.1569,4045915.075,154
-13156624.1569,4046095.075,65535
-13159174.1569,4054465.075,36038
-13157284.1569,4062445.075,65535
-13158034.1569,4064515.075,65535
-13158154.1569,4048435.075,65535
-13157224.1569,4054255.075,65535
-13157854.1569,4060615.075,65535
-13168354.1569,4057945.075,65535
-13162804.1569,4054885.075,36038
-13165924.1569,4046005.075,65535
-13160824.1569,4045735.075,65535
-13168264.1569,4045015.075,65535
-13165294.1569,4044985.075,65535
-13156234.1569,4053805.075,65535
-13166614.1569,4056925.075,36038
-13160674.1569,4047685.075,65535
-13162174.1569,4060825.075,65535
-13159324.1569,4064635.075,65535
-13160254.1569,4062835.075,65535
-13161544.1569,4046065.075,65535
-13159384.1569,4051975.075,154
-13165774.1569,4056865.075,36038
-13159654.1569,4056355.075,154
-13156654.1569,4050655.075,35988
-13163494.1569,4061155.075,154
-13156954.1569,4048195.075,65535
-13165024.1569,4050415.075,154
-13156024.1569,4054165.075,65535
-13168984.1569,4063165.075,65535
-13159024.1569,4063405.075,65535
-13156804.1569,4049305.075,36038
-13164934.1569,4058875.075,36038
-13157554.1569,4058005.075,65535
-13160584.1569,4050775.075,36026
-13160584.1569,4046185.075,65535
-13167544.1569,4054195.075,65535
-13158154.1569,4062505.075,65535
-13160104.1569,4063975.075,65535
-13159624.1569,4050955.075,154
-13160494.1569,4052845.075,154
-13159684.1569,4049995.075,36038
-13162294.1569,4051525.075,154
-13158394.1569,4048105.075,65535
-13159864.1569,4049845.075,36038
-13163884.1569,4047835.075,154
-13158394.1569,4055545.075,65535
-13168834.1569,4058395.075,65535
-13160764.1569,4061365.075,65535
-13169434.1569,4050295.075,154
-13164214.1569,4049455.075,154
-13164244.1569,4053925.075,36038
-13159084.1569,4056415.075,65535
-13165294.1569,4049455.075,154
-13163134.1569,4047355.075,154
-13162894.1569,4060585.075,65535
-13157794.1569,4055905.075,65535
-13169854.1569,4053865.075,65535
-13168384.1569,4063465.075,65535
-13167454.1569,4063015.075,65535
-13163674.1569,4060825.075,154
-13158454.1569,4060675.075,65535
-13163404.1569,4063525.075,37682
-13162474.1569,4058605.075,65535
-13168924.1569,4046935.075,65535
-13165474.1569,4055455.075,36038
-13158784.1569,4044805.075,65535
-13162624.1569,4054795.075,36026
-13156294.1569,4045375.075,65535
-13169134.1569,4047685.075,65535
-13157644.1569,4049455.075,35988
-13163224.1569,4053955.075,35988
-13162534.1569,4051075.075,154
-13159294.1569,4058155.075,65535
-13157884.1569,4059145.075,65535
-13167184.1569,4048795.075,65535
-13161634.1569,4060195.075,65535
-13167934.1569,4059025.075,65535
-13159594.1569,4060585.075,65535
-13167454.1569,4060975.075,65535
-13164664.1569,4054165.075,36038
-13158784.1569,4062685.075,65535
-13156924.1569,4061905.075,65535
-13169914.1569,4059445.075,65535
-13165774.1569,4052905.075,35988
-13167274.1569,4049425.075,65535
-13156204.1569,4045495.075,65535
-13161154.1569,4046815.075,65535
-13164064.1569,4061815.075,154
-13167094.1569,4061155.075,65535
-13168354.1569,4062025.075,65535
-13157164.1569,4057135.075,65535
-13159834.1569,4045045.075,65535
-13158424.1569,4049005.075,154
-13161304.1569,4046785.075,65535
-13169074.1569,4052365.075,65535
-13157944.1569,4048705.075,65535
-13162294.1569,4047865.075,154
-13167424.1569,4058155.075,36048
-13165624.1569,4064005.075,65535
-13157914.1569,4052365.075,36026
-13158154.1569,4050955.075,36038
-13164334.1569,4062865.075,65535
-13164844.1569,4053445.075,36038
-13163074.1569,4057885.075,154
-13168144.1569,4048615.075,65535
-13169104.1569,4053865.075,65535
-13157644.1569,4055485.075,65535
-13165834.1569,4052335.075,154
-13164874.1569,4045735.075,65535
-13160494.1569,4058995.075,65535
-13162684.1569,4061515.075,65535
-13159264.1569,4062475.075,65535
-13156744.1569,4055725.075,65535
-13167604.1569,4055665.075,65535
-13158844.1569,4061125.075,65535
-13159864.1569,4063015.075,65535
-13165294.1569,4064425.075,65535
-13166944.1569,4062205.075,65535
-13162504.1569,4062325.075,65535
-13162804.1569,4056055.075,36038
-13157164.1569,4056325.075,65535
-13168294.1569,4054855.075,65535
-13164274.1569,4061485.075,154
-13158124.1569,4047325.075,65535
-13162864.1569,4061695.075,65535
-13159504.1569,4058905.075,65535
-13160974.1569,4049515.075,154
-13161304.1569,4045225.075,65535
-13165954.1569,4053955.075,35984
-13158934.1569,4062715.075,65535
-13167004.1569,4047985.075,65535
-13156804.1569,4047595.075,65535
-13165504.1569,4058125.075,36038
-13162684.1569,4057135.075,154
-13163014.1569,4061515.075,65535
-13162534.1569,4050685.075,154
-13156774.1569,4049065.075,35988
-13165024.1569,4051315.075,154
-13164784.1569,4046755.075,154
-13158184.1569,4057555.075,65535
-13159924.1569,4048195.075,65535
-13167994.1569,4061905.075,65535
-13161304.1569,4064725.075,65535
